name,resume,degree,field_of_study,GPA,years_of_experience,age,shortlisted
Michael Henry,"Michael Henry is a M.Tech graduate with 5.9 years of experience in software development. They are proficient in technologies such as C++, CSS, Node.js, SQL, Python. Work Highlights: - Built a secure file upload service using AWS S3 and pre-signed URLs. - Built a data visualization tool using Python and Plotly Dash for internal reporting.",M.Tech,Computer Science,9.49,5.9,25,1
Javier Tran,"Javier Tran is a B.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as CSS, Python, SQL. Work Highlights: - Built a secure payment gateway integration using PCI DSS compliance standards. - Developed a machine learning model in Python using TensorFlow, achieving 92% accuracy on a classification task.",B.Tech,Computer Science,9.53,2.3,34,1
Matthew Juarez,"Matthew Juarez is a M.Tech graduate with 2.0 years of experience in software development. They are proficient in technologies such as React, SQL, Python, C++, Django, HTML. Work Highlights: - Improved build times for a large JavaScript project using Webpack optimizations. - Developed a custom authentication service using Auth0 for multi-tenant applications.",M.Tech,Information Technology,9.57,2.0,25,1
Alice Martinez,"Alice Martinez is a BSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as HTML, C++, React. Work Highlights: - Developed a desktop application using Java Swing for inventory management. - Configured Continuous Deployment with GitLab CI for multi-stage deployments.",BSc,Computer Science,8.37,4.8,22,0
Justin Harrison,"Justin Harrison is a B.Tech graduate with 4.2 years of experience in software development. They are proficient in technologies such as HTML, React, Java, JavaScript, Python, SQL. Work Highlights: - Developed a desktop application using C# and WPF for internal tooling. - Designed and implemented a distributed caching layer using Redis for frequently accessed data.",B.Tech,Computer Science,9.81,4.2,24,1
Erin Martinez,"Erin Martinez is a BSc graduate with 3.0 years of experience in software development. They are proficient in technologies such as HTML, Django, Java. Work Highlights: - Developed a GraphQL API with Apollo Server and Node.js for a new content management system. - Designed and implemented a distributed caching layer using Redis for frequently accessed data.",BSc,Computer Science,9.1,3.0,24,0
Kayla Richardson,"Kayla Richardson is a M.Tech graduate with 5.2 years of experience in software development. They are proficient in technologies such as HTML, Python, Node.js, React. Work Highlights: - Developed interactive data visualizations using D3.js for business intelligence dashboards. - Designed and implemented a robust error logging and monitoring system using ELK stack (Elasticsearch, Logstash, Kibana).",M.Tech,Information Technology,6.32,5.2,28,0
Mary Cox,"Mary Cox is a BSc graduate with 1.1 years of experience in software development. They are proficient in technologies such as React, Node.js, SQL, Django, Java. Work Highlights: - Implemented A/B testing frameworks within a web application to optimize user engagement. - Implemented robust data validation rules and sanitization for user input in a web form.",BSc,Electronics,7.64,1.1,23,0
Mr. Timothy Berg,"Mr. Timothy Berg is a B.Tech graduate with 1.4 years of experience in software development. They are proficient in technologies such as HTML, Java, CSS, Django, React. Work Highlights: - Designed and implemented a robust error logging and monitoring system using ELK stack (Elasticsearch, Logstash, Kibana). - Implemented server-side rendering (SSR) for a Next.js application, improving SEO and initial load times.",B.Tech,Computer Science,6.35,1.4,32,0
Susan Brown,"Susan Brown is a MSc graduate with 4.3 years of experience in software development. They are proficient in technologies such as JavaScript, React, C++, CSS. Work Highlights: - Built a desktop application with Electron and React, providing cross-platform compatibility. - Configured Continuous Deployment with GitLab CI for multi-stage deployments.",MSc,Computer Science,6.0,4.3,27,0
Michael Page,"Michael Page is a M.Tech graduate with 3.4 years of experience in software development. They are proficient in technologies such as JavaScript, Node.js, HTML, Django, C++. Work Highlights: - Conducted performance profiling and identified bottlenecks in a Java application, recommending optimizations. - Developed custom WordPress plugins with PHP, enhancing website functionality and user experience.",M.Tech,Electronics,9.66,3.4,28,0
Pamela James,"Pamela James is a B.Tech graduate with 2.3 years of experience in software development. They are proficient in technologies such as SQL, React, HTML, C++. Work Highlights: - Built a secure file upload service using AWS S3 and pre-signed URLs. - Implemented secure authentication flows using OAuth 2.0 and JWT in a Golang backend service.",B.Tech,Information Technology,9.16,2.3,29,0
Brittany Butler,"Brittany Butler is a B.Tech graduate with 1.7 years of experience in software development. They are proficient in technologies such as Python, HTML, Django, C++. Work Highlights: - Integrated third-party authentication providers (Google, Facebook) into a web application. - Built a Progressive Web App (PWA) with Service Workers for offline capabilities.",B.Tech,Computer Science,7.11,1.7,30,0
John Crane,"John Crane is a BSc graduate with 3.9 years of experience in software development. They are proficient in technologies such as SQL, Python, CSS, C++. Work Highlights: - Created data ingestion pipelines with Apache Kafka and Spark, processing large volumes of streaming data. - Automated testing of API endpoints using Postman and Newman for regression testing.",BSc,Electronics,6.42,3.9,24,0
John Ortega,"John Ortega is a MSc graduate with 0.0 years of experience in software development. They are proficient in technologies such as HTML, JavaScript, Python, Java, Node.js, Django. Work Highlights: - Optimized image delivery using WebP format and responsive image techniques. - Implemented a data migration script from SQL Server to PostgreSQL using Python.",MSc,Electronics,8.6,0.0,21,1
Sabrina Harris,"Sabrina Harris is a B.Tech graduate with 4.3 years of experience in software development. They are proficient in technologies such as Node.js, CSS, React, Python, C++, Java. Work Highlights: - Built a Progressive Web App (PWA) with Service Workers for offline capabilities. - Built a cross-platform mobile app using React Native, delivering a consistent user experience.",B.Tech,Information Technology,7.46,4.3,23,0
Grace Frey,"Grace Frey is a M.Tech graduate with 5.1 years of experience in software development. They are proficient in technologies such as C++, Python, JavaScript. Work Highlights: - Built a web crawler using Python and Scrapy to collect publicly available data. - Designed and implemented a robust error reporting mechanism with Sentry.",M.Tech,Computer Science,8.74,5.1,24,1
Mary Miller,"Mary Miller is a MSc graduate with 2.6 years of experience in software development. They are proficient in technologies such as Django, Java, HTML, JavaScript. Work Highlights: - Developed custom shaders and rendering pipelines in Unity for a 3D simulation. - Developed a desktop application using C# and WPF for internal tooling.",MSc,Computer Science,7.61,2.6,35,0
Cynthia Castillo,"Cynthia Castillo is a BSc graduate with 4.8 years of experience in software development. They are proficient in technologies such as HTML, Python, JavaScript, C++, CSS, Django. Work Highlights: - Fixed critical bugs and improved error handling in a legacy Perl script for data synchronization. - Developed a recommendation engine using collaborative filtering techniques in Python.",BSc,Computer Science,7.23,4.8,34,0
